,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/data/0,/hdd/1/load/0,/hdd/2/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Temperature","Total Bytes Written","Used Space","Used Space"
06/13/2021 18:25:31,0.78125,0,0,1.5625,0.5859375,48,49,48,47,49,4093.45239,4193.293,4093.45239,4093.45239,13.3226271,6.50247049,0,1.20187318,99.8403,19.586235,7.79140472,31.98859,45,300,405.000031,0,2,25,0,0,4096,1049.96094,3046.039,25.633812,7.7050004,1.953125,0.9765625,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:33,3.076923,0,0,0.7692337,0.9615421,47,49,46,46,49,4293.1333,4193.293,4093.45239,4093.45239,13.5563145,6.611701,0,1.19250321,99.8403,19.5839615,7.790497,31.9894981,45,300,405.000031,0,2,25,0,0,4096,1049.96094,3046.039,25.633812,7.67200041,14.6484375,5.859375,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:34,3.076923,2.30768919,1.52680874,3.076923,2.497089,47,49,46,46,49,4093.451,4293.13135,4293.13135,4093.451,17.1853161,10.3405,0,1.27803206,99.84027,19.5865936,7.791546,31.98845,45,300,405.000031,0,3,25,0,0,4096,1049.96094,3046.039,25.633812,7.54200029,0,0,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:35,0,0.78125,0.78125,2.34375,0.9765625,46,48,46,46,48,4193.29443,4193.29443,4293.135,4193.29443,12.9873466,6.2654705,0,1.17274117,99.84034,19.5850754,7.790943,31.9890518,44,300,405.000031,0,0,25,0,0,4096,1049.96094,3046.039,25.633812,7.59500027,0,0,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:36,0.78125,1.5625,0,1.5625,0.9765625,46,48,46,46,48,4193.29248,4293.133,4293.133,4293.133,13.9029675,7.12943029,0,1.1906147,99.8402939,19.5832672,7.790222,31.9897728,44,300,405.000031,0,1,25,0,0,4096,1049.96094,3046.039,25.633812,7.602,0,0,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:37,1.5625,0,0.78125,0,0.5859375,46,48,46,45,48,4093.45264,4293.1333,4293.1333,4093.45264,13.1353521,6.45906448,0,1.17053258,99.84031,19.5832748,7.790226,31.989769,44,300,405.000031,0,0,25,0,0,4096,1049.96094,3046.039,25.633812,7.603,0,0,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:38,2.34375,1.5625,2.34375,4.6875,2.734375,48,49,48,47,49,4193.29248,4193.29248,4193.29248,4193.29248,19.3305874,12.385499,0,1.31316864,99.8402939,19.5869675,7.79169464,31.9883,44,300,405.000031,0,1,25,0,0,4096,1049.96094,3046.039,25.633812,7.61900043,0,0,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:39,1.5625,0.78125,0,0,0.5859375,46,48,47,47,48,4193.293,4193.293,4093.45264,4193.293,14.1589794,7.392843,0,1.21137857,99.84031,19.5815964,7.78955841,31.9904366,44,300,405.000031,0,1,24,0,0,4096,1049.96094,3046.039,25.633812,7.63700056,0,0,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:40,6.262398,2.34375,1.5625,3.125,3.323412,47,49,47,46,49,4193.29248,4093.45215,4193.29248,4093.45215,18.3622074,11.454917,0,1.3180145,99.8402939,19.5811386,7.78937531,31.99062,44,300,405.000031,0,1,24,0,0,4096,1049.96094,3046.039,25.633812,7.656,0,0,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:41,2.34375,0,0.78125,5.46875,2.1484375,47,49,46,46,49,4293.133,4193.29248,4093.45215,4093.45215,16.27124,9.476523,0,1.256522,99.8403,19.5827942,7.79003525,31.98996,44,300,405.000031,0,2,25,0,0,4096,1050.46094,3045.539,25.646019,7.65400028,0,0,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:42,1.5625,1.5625,1.5625,3.90625,2.1484375,48,49,48,47,49,4193.292,4093.452,4193.292,4093.452,16.9001122,10.1592388,0,1.28143549,99.8402939,19.5799255,7.78889465,31.9911,44,300,405.000031,0,2,25,0,0,4096,1050.46094,3045.539,25.646019,7.643,0,0,44.2963142,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:43,0.78125,0.78125,0,1.5625,0.78125,46,48,45,45,48,4293.13232,4293.13232,4293.13232,4093.45166,13.1560888,6.32857943,0,1.18011689,99.84029,19.5806351,7.789177,31.990818,44,300,405.000031,0,2,25,0,0,4096,1050.46094,3045.539,25.646019,7.58200026,0,0,44.2963524,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:44,4.6875,0,3.90625,0,2.1484375,48,49,46,46,49,4093.45361,4193.294,4193.294,4193.294,17.1710129,10.2926455,0,1.27929652,99.84033,19.57898,7.788517,31.991478,44,300,405.000031,0,0,24,0,0,4096,1050.58594,3045.414,25.64907,7.69900036,4.8828125,0.9765625,44.2963524,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:45,0.78125,0,0,0,0.1953125,46,48,46,45,48,4093.45239,4093.45239,4193.293,4093.45239,13.3294821,6.604672,0,1.1862179,99.8403,19.58004,7.78894043,31.9910545,44,300,405.000031,0,3,25,0,0,4096,1050.64844,3045.35156,25.6505966,7.69400024,0,0,44.2963524,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:46,3.90625,1.5625,0.78125,3.90625,2.5390625,47,49,47,47,49,4193.29248,4193.29248,4093.45215,4193.29248,16.3186016,9.573295,0,1.27621984,99.8403,19.580162,7.788986,31.9910088,44,300,405.000031,0,1,25,0,0,4096,1050.64844,3045.35156,25.6505966,7.62800026,0,0,44.2963524,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:47,4.6875,1.5625,2.34375,3.125,2.9296875,47,48,48,46,48,4193.293,4193.293,4093.45264,4093.45264,15.2468987,8.470995,0,1.24276137,99.84031,19.5810471,7.789337,31.9906578,44,300,405.000031,0,2,25,0,0,4096,1051.14844,3044.85156,25.6628036,7.61800051,0,0,44.2963524,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:48,2.34375,0,2.36895084,4.6875,2.35005021,46,48,46,45,48,4193.29248,4193.29248,4093.45215,4093.45215,16.7724361,9.8912735,0,1.27906036,99.8402939,19.5789719,7.788513,31.9914818,44,300,405.000031,0,3,25,0,0,4096,1051.14844,3044.85156,25.6628036,7.69400024,0,0,44.2963524,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:53,0,0,0,0.78125,0.1953125,46,47,46,45,47,4193.293,4293.1333,4293.1333,4293.1333,12.8592386,6.268325,0,1.16740763,99.84032,19.5776672,7.78799438,31.992,44,300,405.000031,0,0,24,0,0,4096,1050.46094,3045.539,25.646019,7.52900028,0,0,44.2963524,31,6631.721,50.7175674,0.04133606
06/13/2021 18:25:58,0,0.7692337,0,0.7692337,0.384616852,46,48,46,45,48,4093.45386,4093.45386,4093.45386,4093.45386,14.5931435,7.74284029,0,1.21014667,99.84034,19.5762863,7.787445,31.99255,44,300,405.000031,0,1,25,0,0,4096,1050.08594,3045.914,25.6368637,7.603,0,0,44.2963524,31,6631.721,50.7175674,0.04133606
06/13/2021 18:26:03,0.78125,0,0.793647766,0.78125,0.589036942,45,47,45,44,47,4193.294,4193.294,4093.45337,4093.45337,13.151432,6.40835762,0,1.18123817,99.8403244,19.5764771,7.78752136,31.9924736,44,300,405.000031,0,1,24,0,0,4096,1050.46094,3045.539,25.646019,7.55,0,0,44.2963524,31,6631.721,50.7175674,0.04133606
06/13/2021 18:26:08,3.8461566,0.7692337,1.53846145,1.53846145,1.9230783,45,47,45,45,47,4293.13232,4093.452,4193.292,4293.13232,15.59719,8.818983,0,1.24085188,99.8402939,19.5765533,7.787552,31.9924431,44,300,405.000031,0,1,25,0,0,4096,1050.21094,3045.789,25.6399155,7.53200054,0,0,44.2963524,31,6631.721,50.7175674,0.04133606
06/13/2021 18:26:13,0.7692337,0,0,0,0.192308426,45,46,44,44,47,4293.1333,4193.293,4093.45239,4293.1333,12.8879232,6.147523,0,1.17501783,99.8403,19.4860916,7.751564,32.02843,44,300,405.000031,0,0,24,0,0,4096,1050.39844,3045.60156,25.6444931,7.53900051,0,0,44.29636,31,6631.721,50.7175674,0.04133606
06/13/2021 18:26:18,0.7692337,0,1.53846145,0.7692337,0.7692337,45,46,45,44,46,4193.29248,4193.29248,4193.29248,4293.133,16.9500313,10.0949335,0,1.28253412,99.8403,19.4287872,7.728771,32.0512238,43,300,405.000031,0,1,25,0,0,4096,1050.39844,3045.60156,25.6444931,7.53900051,0,0,,,,,
06/13/2021 18:26:23,3.90625,0.78125,0,3.125,1.953125,45,47,45,45,47,4093.45313,4093.45313,4193.29346,4193.29346,14.736433,7.92752934,0,1.22439039,99.84032,19.4268112,7.72798538,32.05201,43,300,405.000031,0,1,25,0,0,4096,1049.96094,3046.039,25.633812,7.7050004,4.8828125,0.9765625,,,,,
06/13/2021 18:26:28,0.7692337,0,0,0,0.192308426,44,47,45,45,47,4193.358,4193.358,4193.358,4293.19971,14.0178509,7.25565767,0,1.19446254,99.84186,19.4255676,7.72748947,32.0525055,43,300,405.000031,0,1,24,0,0,4096,1050.21094,3045.789,25.6399155,7.61,0,0,,,,,
06/13/2021 18:26:33,2.30768919,0.7692337,0.7692337,0.7692337,1.15384459,45,46,45,44,46,4193.292,4293.13232,4293.13232,4293.13232,15.3229952,8.537817,0,1.23094916,99.8402939,,,,,,,,,,,,,,,,,,,,,,,
06/13/2021 18:26:38,3.90625,1.5625,1.5625,3.90625,2.734375,45,47,46,45,47,4093.452,4193.29248,4193.29248,4193.29248,17.9534149,11.121912,0,1.27927756,99.8402939,,,,,,,,,,,,,,,,,,,,,,,
06/13/2021 18:29:58,0,0,0,0.7692337,0.192308426,46,49,46,46,49,4293.13232,4293.13232,4293.13232,4193.292,12.6691427,6.0163703,0,1.1623354,99.8402939,,,,,,,,,,,,,,,,,,,,,,,
06/13/2021 18:30:03,0,0,0,0,0,46,48,46,45,48,4193.291,4093.45068,4293.131,4293.131,12.8935146,6.171037,0,1.16307878,99.8402557,,,,,,,,,,,,,,,,,,,,,,,
