,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
06/15/2021 07:26:59,0.7692337,0.7692337,0,1.53846145,0.7692337,45,48,45,45,48,4293.06348,4093.386,4193.22461,4193.22461,12.886857,5.97068,0,1.16768968,99.8386841
06/15/2021 07:27:04,6.92307949,8.4615345,10.0000019,7.69230747,8.269226,47,50,48,47,50,4093.44922,4093.44922,4093.44922,4093.44922,15.6778631,12.9270906,0,1.36298084,99.8402252
06/15/2021 07:27:09,3.125,3.125,0.78125,4.6875,2.9296875,46,48,47,46,48,4193.29053,4193.29053,4193.29053,4193.29053,17.9705067,11.0946732,0,1.28676152,99.8402557
06/15/2021 07:27:14,2.30768919,4.615384,3.076923,1.53846145,2.88461447,45,47,46,44,47,4093.44922,4293.12939,4093.44922,4293.12939,18.2888184,11.3917179,0,1.3074652,99.8402252
06/15/2021 07:27:19,8.473557,10.0000019,4.615384,7.69230747,7.69531155,45,48,45,45,48,4193.28857,4093.44849,4193.28857,4193.28857,18.9234924,11.8824368,0,1.38702214,99.84021
06/15/2021 07:27:24,11.5384579,12.3076916,13.8461533,15.3846149,13.2692337,57,61,60,57,61,4093.449,4093.449,4093.449,4093.449,24.1931267,17.7987366,0,1.49060857,99.84022
06/15/2021 07:27:29,3.8461566,11.5384579,10.8173075,9.230768,8.858168,49,57,49,48,57,4093.449,4093.449,4093.449,4093.449,24.7332134,17.7946358,0,1.44632077,99.84022
06/15/2021 07:27:34,10.15625,12.5,12.5,12.5,11.9140625,47,52,48,48,52,4093.45,4093.45,4093.45,4093.45,20.7820473,14.5905714,0,1.46844661,99.84024
06/15/2021 07:27:39,1.53846145,5.384612,3.076923,6.153846,4.038465,46,54,46,46,54,4093.44971,4093.44971,4093.44971,4093.44971,19.3107948,12.4702663,0,1.367575,99.84024
06/15/2021 07:27:44,3.90625,5.46875,3.90625,4.6875,4.4921875,46,48,46,45,48,4193.289,4193.289,4093.44873,4193.289,17.2893467,10.4903584,0,1.32601821,99.84022
06/15/2021 07:27:49,7.03125,21.875,8.59375,13.28125,12.6953125,49,54,50,49,54,4093.45,4093.45,4093.45,4093.45,27.76296,20.7643452,0,1.61073709,99.84024
06/15/2021 07:27:54,14.6153812,21.53846,31.5384636,17.6923027,21.3461514,51,51,52,50,52,4093.44946,4193.28955,4193.28955,4093.44946,36.55496,29.4114857,0,1.604324,99.84023
06/15/2021 07:27:59,4.6875,7.8125,7.8125,4.6875,6.25,50,57,51,54,57,4093.44946,4093.44946,4193.28955,4193.28955,21.6890125,14.8511477,0,1.41898978,99.8402252
06/15/2021 07:28:04,4.699898,1.5625,0.78125,1.5625,2.151537,45,47,45,45,47,4193.28955,4293.13,4293.13,4193.28955,15.4048071,8.657052,0,1.27199018,99.8402252
06/15/2021 07:28:09,0,0,0,0.7692337,0.192308426,44,47,44,44,47,4093.44971,4193.29,4193.29,4293.13037,12.9241056,6.24595165,0,1.17465556,99.84024
06/15/2021 07:28:14,3.90625,7.8125,5.46875,2.34375,4.8828125,45,48,45,45,48,4093.45,4193.29,4193.29,4093.45,18.0571232,11.2982016,0,1.28239083,99.84024
06/15/2021 07:28:19,0.793647766,5.384612,0.7692337,2.30768919,2.31379867,45,47,45,45,47,4093.44946,4093.44946,4093.44946,4093.44946,17.4139233,10.3839579,0,1.28280032,99.84023
06/15/2021 07:28:25,0.7692337,0.7692337,0,1.53846145,0.7692337,44,47,45,45,47,4193.28955,4193.28955,4193.28955,4193.28955,14.5526733,7.768781,0,1.199466,99.8402252
06/15/2021 07:28:30,1.53846145,1.5625,1.53846145,1.5625,1.5504837,43,45,44,43,45,4193.367,4093.52515,4093.52515,4293.20947,14.7900763,8.111752,0,1.21065342,99.84208
06/15/2021 07:28:35,0.78125,0.78125,0.78125,1.5625,0.9765625,44,47,44,44,47,4093.449,4093.449,4093.449,4193.289,17.1513557,10.2501459,0,1.2965982,99.84022
06/15/2021 07:28:40,1.53846145,2.30768919,1.53846145,3.076923,2.11538672,43,46,44,43,46,4293.13,4293.13,4293.13,4293.13,15.1102409,8.3063,0,1.23003328,99.8402252
06/15/2021 07:28:45,6.911421,6.92307949,9.95338,5.384612,7.293129,51,58,56,51,58,4093.44922,4093.44922,4093.44922,4093.44922,22.5851479,15.7134285,0,1.467592,99.8402252
06/15/2021 07:28:50,3.834498,6.153846,7.657343,5.384612,5.757582,45,47,45,45,48,4193.29,4193.29,4193.29,4093.45,22.55879,15.6675014,0,1.48181224,99.84024
06/15/2021 07:28:55,4.6875,6.25,1.5625,4.6875,4.296875,45,48,45,44,48,4193.28955,4193.28955,4193.28955,4193.28955,17.554306,10.6808262,0,1.32541251,99.8402252
06/15/2021 07:29:00,2.30768919,5.384612,1.53846145,3.8461566,3.26923728,44,47,45,44,47,4193.289,4193.289,4193.289,4193.289,14.88451,8.219744,0,1.25251758,99.84022
06/15/2021 07:29:05,3.90625,7.8125,4.6875,3.125,4.8828125,43,46,44,43,46,4093.44946,4093.44946,4193.28955,4093.44946,16.5623455,9.72543,0,1.27210879,99.8402252
06/15/2021 07:29:10,7.03125,12.5,5.46875,6.25,7.8125,44,46,44,44,46,4093.44775,4193.288,4193.288,4193.288,20.3693733,13.6355686,0,1.340206,99.8401947
06/15/2021 07:29:15,10.15625,56.25,27.34375,15.625,27.34375,54,63,64,54,64,4193.289,4093.449,4193.289,4193.289,43.17441,36.1619148,0,1.72583425,99.84022
06/15/2021 07:29:20,57.03125,54.6875,73.4375,67.96875,63.28125,74,72,72,71,74,4093.44775,4093.44775,4093.44775,4093.44775,52.11822,48.69689,0,2.595377,99.84019
06/15/2021 07:29:25,10.15625,9.375,5.46875,3.125,7.03125,59,58,59,57,59,4093.44824,4093.44824,4093.44824,4093.44824,21.4789963,14.75164,0,1.37111163,99.8402
06/15/2021 07:29:26,12.5,19.53125,16.40625,10.9375,14.84375,63,64,62,61,64,4093.45068,4093.45068,4093.45068,4093.45068,24.7085743,21.8572655,0,1.55382419,99.8402557
06/15/2021 07:29:30,20.3125,31.25,22.65625,20.3125,23.6328125,65,66,59,57,66,4093.449,4093.449,4093.449,4093.449,34.0061874,26.833313,0,1.52774227,99.84022
06/15/2021 07:29:31,7.8125,7.776439,8.59375,10.15625,8.584738,48,50,49,47,50,4193.287,4193.287,4193.287,4093.447,18.5289631,11.5692072,0,1.33605254,99.84017
06/15/2021 07:29:35,2.30768919,0,0,1.53846145,0.9615421,47,49,47,46,49,4093.44922,4193.28955,4293.13,4293.13,13.27179,6.619236,0,1.18198931,99.8402252
06/15/2021 07:29:36,0,0.78125,0,1.5625,0.5859375,47,49,47,46,49,4293.13,4293.13,4293.13,4293.13,12.7799692,6.10761642,0,1.16917264,99.84023
06/15/2021 07:29:40,2.34375,32.03125,25,4.6875,16.015625,52,66,51,53,65,4093.44922,4093.44922,4193.28955,4193.28955,34.84714,27.774065,0,1.39353335,99.8402252
06/15/2021 07:29:41,21.53846,50.7692337,34.615387,27.6923065,33.6538429,65,73,70,65,73,4093.44751,4093.44751,4093.44751,4093.44751,52.9506531,45.7201271,0,1.888419,99.84019
06/15/2021 07:29:45,18.75,44.53125,27.34375,35.9375,31.640625,56,73,67,70,73,4093.449,4093.449,4093.449,4093.449,38.2453156,35.2401772,0,1.52096486,99.84022
06/15/2021 07:29:46,31.1320782,37.73585,33.96226,44.3396225,36.7924576,59,62,58,65,65,4093.449,4093.449,4093.449,4093.449,44.48013,41.34095,0,2.10794973,99.84022
06/15/2021 07:29:50,6.25,6.25,6.25,10.15625,7.2265625,51,52,50,50,52,4093.44971,4193.29,4093.44971,4193.29,16.9281178,11.187273,0,1.27669287,99.84023
06/15/2021 07:29:51,3.91864777,3.93105149,4.724705,5.49355125,4.516983,48,51,49,48,51,4093.44946,4093.44946,4093.44946,4293.13,16.6738319,9.876795,0,1.29305971,99.84023
06/15/2021 07:29:52,1.53846145,0,0,0.7692337,0.5769253,49,52,49,49,52,4193.289,4193.289,4093.44873,4193.289,15.1124611,8.20912,0,1.23156011,99.84021
06/15/2021 07:29:55,2.34375,4.6875,3.125,7.03125,4.296875,49,51,49,48,51,4093.449,4193.289,4193.289,4193.289,17.54681,10.6574984,0,1.3293252,99.84022
06/15/2021 07:29:57,6.153846,5.384612,3.8461566,6.153846,5.384618,49,51,49,48,51,4093.44946,4193.28955,4193.28955,4093.44946,19.85309,12.93233,0,1.30437994,99.84023
06/15/2021 07:29:57,6.25,6.25,3.125,5.46875,5.2734375,49,51,49,48,51,4093.44922,4093.44922,4093.44922,4093.44922,20.4459839,13.5584793,0,1.36342275,99.8402252
06/15/2021 07:30:00,8.59375,11.71875,10.15625,15.625,11.5234375,57,62,60,58,63,4093.44775,4093.44775,4093.44775,4093.44775,25.5744324,21.48625,0,1.61024368,99.8401947
06/15/2021 07:30:02,18.4615364,21.53846,14.6153812,12.3076916,16.7307625,51,53,50,49,53,4093.44946,4093.44946,4093.44946,4093.44946,23.5533581,20.77496,0,1.68334186,99.84023
06/15/2021 07:30:02,19.9999981,20.7692261,15.3846149,16.9230766,18.26923,52,55,52,51,54,4093.449,4093.449,4093.449,4093.449,23.7837677,20.8944435,0,1.62748158,99.84022
06/15/2021 07:30:05,2.34375,3.125,0.78125,3.90625,2.5390625,48,50,47,47,50,4193.29,4293.13037,4193.29,4193.29,15.4502459,8.662969,0,1.25306213,99.84023
06/15/2021 07:30:07,4.6875,9.375,3.125,5.46875,5.6640625,48,50,48,47,50,4293.12939,4293.12939,4193.289,4093.449,19.5999413,12.7784214,0,1.32218969,99.84022
